label,area,filled_area,convex_area,major_axis_length,minor_axis_length,filename
15,86.0,86.0,91.0,13.165403454527844,8.730221680594603,conta01_aug.tif
16,31739.0,31740.0,35496.0,253.419967485722,168.9488054023057,conta01_aug.tif
17,11.0,11.0,11.0,6.081053090682383,2.192240241224574,conta01_aug.tif
18,93.0,93.0,137.0,20.55843697852267,7.807087981571012,conta01_aug.tif
19,8.0,8.0,11.0,4.683926736946213,2.358141285614668,conta01_aug.tif
20,39.0,39.0,50.0,17.29996709138864,3.185854033308996,conta01_aug.tif
21,8.0,8.0,10.0,6.984716318104124,1.4878635540969356,conta01_aug.tif
22,10.0,10.0,12.0,6.553299359157344,1.9834988049575293,conta01_aug.tif
23,31397.0,31397.0,36325.0,333.22624519781584,128.0681313946681,conta01_aug.tif
24,6575.0,6575.0,6986.0,106.85907578178887,84.54317494882672,conta01_aug.tif
25,57065.0,57065.0,62881.0,309.27502889989603,254.0277424385027,conta01_aug.tif
26,28549.0,28550.0,31916.0,263.55945567598457,146.11964281652416,conta01_aug.tif
27,32171.0,32173.0,34031.0,238.52610667394325,174.0140094552179,conta01_aug.tif
28,56.0,56.0,63.0,13.01697338509771,5.60632258002068,conta01_aug.tif
29,33420.0,33420.0,35588.0,260.5789337089321,172.1726847232145,conta01_aug.tif
30,16805.0,16860.0,21131.0,207.7435750113285,113.64475660632242,conta01_aug.tif
31,846.0,846.0,877.0,53.3030170590446,22.389512246277913,conta01_aug.tif
32,36392.0,36392.0,39068.0,240.46021019005983,203.34568697292846,conta01_aug.tif
33,1.0,1.0,1.0,0.0,0.0,conta01_aug.tif
34,1.0,1.0,1.0,0.0,0.0,conta01_aug.tif
35,20656.0,20656.0,24163.0,216.19566683760686,137.5952892661467,conta01_aug.tif
36,13030.0,13030.0,14884.0,212.33022149921038,84.05776918464657,conta01_aug.tif
37,2.0,2.0,2.0,2.0,0.0,conta01_aug.tif
38,1537.0,1537.0,1630.0,58.61637020186323,37.94532913662228,conta01_aug.tif
39,23952.0,23969.0,25746.0,234.23506827818466,137.50150338504326,conta01_aug.tif
40,6.0,6.0,6.0,3.126943839882286,2.309401076758503,conta01_aug.tif
41,1.0,1.0,1.0,0.0,0.0,conta01_aug.tif
42,2.0,2.0,2.0,2.0,0.0,conta01_aug.tif
1,80947.0,81043.0,98569.0,455.43800966604124,265.75962885501417,conta02.tif
2,11527.0,11527.0,14164.0,173.20087011078934,100.55171733537836,conta02.tif
3,14461.0,14461.0,16972.0,192.87958188269957,104.12102396084221,conta02.tif
4,27.0,27.0,45.0,9.340999977476,6.407260698144686,conta02.tif
5,29202.0,29353.0,32243.0,243.86167811399224,161.9601056935225,conta02.tif
6,1.0,1.0,1.0,0.0,0.0,conta02.tif
7,2.0,2.0,2.0,2.0,0.0,conta02.tif
8,25261.0,25261.0,29540.0,238.64029686081528,144.51772984475724,conta02.tif
9,24488.0,24488.0,26944.0,202.21866218983754,160.54422449623112,conta02.tif
10,55500.0,55500.0,58358.0,281.0159614085811,262.8932291629198,conta02.tif
11,2.0,2.0,2.0,2.8284271247461903,0.0,conta02.tif
12,21.0,21.0,29.0,15.084322464218582,1.9285879868792795,conta02.tif
13,3.0,3.0,3.0,2.3094010767585034,1.3333333333333333,conta02.tif
14,65.0,65.0,76.0,18.107330271286177,4.7318233881602945,conta02.tif
15,13.0,13.0,13.0,7.554371880072024,1.9753176197160076,conta02.tif
16,31965.0,33025.0,38273.0,302.4204686132576,159.88355038345912,conta02.tif
17,51647.0,51921.0,55048.0,319.6227992973761,210.79834070284096,conta02.tif
18,143626.0,143823.0,148169.0,482.5074628542602,389.7667790915173,conta02.tif
19,5640.0,5640.0,7361.0,173.537439422974,50.99416237187065,conta02.tif
20,38682.0,38682.0,44137.0,249.4687437673647,211.51169420670152,conta02.tif
21,22217.0,22217.0,23320.0,186.37499389902806,157.07113108504745,conta02.tif
22,31.0,31.0,33.0,12.759015474175625,3.059661807004705,conta02.tif
23,20001.0,20001.0,21089.0,191.72627198410268,139.1893226424197,conta02.tif
24,11644.0,11645.0,19978.0,295.53754304182036,91.14380380675581,conta02.tif
25,6.0,6.0,7.0,4.363338213437162,1.65500979239906,conta02.tif
26,56.0,56.0,62.0,13.101658393093734,5.561769686399652,conta02.tif
27,33945.0,34200.0,36901.0,322.9370807385692,144.87176684316427,conta02.tif
28,1.0,1.0,1.0,0.0,0.0,conta02.tif
29,4359.0,4359.0,5309.0,105.73913090686317,65.10341118686217,conta02.tif
30,4.0,4.0,5.0,3.4641016151377544,1.4142135623730951,conta02.tif
31,1.0,1.0,1.0,0.0,0.0,conta02.tif
32,18.0,18.0,32.0,15.263518244752024,1.8626473731134676,conta02.tif
33,3.0,3.0,4.0,3.677088528342677,0.8374020402130087,conta02.tif
